Landkreis;Personen;Altersgruppe;Geschlecht;Nationalität
SK Berlin Mitte;8977;A00-A05;M;D
SK Berlin Mitte;11221;A06-A14;M;D
SK Berlin Mitte;3453;A15-A17;M;D
SK Berlin Mitte;2267;A18-A19;M;D
SK Berlin Mitte;7702;A20-A24;M;D
SK Berlin Mitte;11019;A25-A29;M;D
SK Berlin Mitte;13344;A30-A34;M;D
SK Berlin Mitte;10857;A35-A39;M;D
SK Berlin Mitte;9150;A40-A44;M;D
SK Berlin Mitte;24743;A45-A59;M;D
SK Berlin Mitte;7311;A60-A64;M;D
SK Berlin Mitte;18062;A65+;M;D
SK Berlin Friedrichshain-Kreuzberg;7646;A00-A05;M;D
SK Berlin Friedrichshain-Kreuzberg;9423;A06-A14;M;D
SK Berlin Friedrichshain-Kreuzberg;2670;A15-A17;M;D
SK Berlin Friedrichshain-Kreuzberg;1768;A18-A19;M;D
SK Berlin Friedrichshain-Kreuzberg;5043;A20-A24;M;D
SK Berlin Friedrichshain-Kreuzberg;7204;A25-A29;M;D
SK Berlin Friedrichshain-Kreuzberg;10637;A30-A34;M;D
SK Berlin Friedrichshain-Kreuzberg;10884;A35-A39;M;D
SK Berlin Friedrichshain-Kreuzberg;10254;A40-A44;M;D
SK Berlin Friedrichshain-Kreuzberg;22711;A45-A59;M;D
SK Berlin Friedrichshain-Kreuzberg;5827;A60-A64;M;D
SK Berlin Friedrichshain-Kreuzberg;10947;A65+;M;D
SK Berlin Pankow;11065;A00-A05;M;D
SK Berlin Pankow;16961;A06-A14;M;D
SK Berlin Pankow;4864;A15-A17;M;D
SK Berlin Pankow;2913;A18-A19;M;D
SK Berlin Pankow;6768;A20-A24;M;D
SK Berlin Pankow;8069;A25-A29;M;D
SK Berlin Pankow;12372;A30-A34;M;D
SK Berlin Pankow;14050;A35-A39;M;D
SK Berlin Pankow;13927;A40-A44;M;D
SK Berlin Pankow;42634;A45-A59;M;D
SK Berlin Pankow;10219;A60-A64;M;D
SK Berlin Pankow;25035;A65+;M;D
SK Berlin Charlottenburg-Wilmersdorf;6888;A00-A05;M;D
SK Berlin Charlottenburg-Wilmersdorf;9113;A06-A14;M;D
SK Berlin Charlottenburg-Wilmersdorf;3058;A15-A17;M;D
SK Berlin Charlottenburg-Wilmersdorf;2004;A18-A19;M;D
SK Berlin Charlottenburg-Wilmersdorf;6169;A20-A24;M;D
SK Berlin Charlottenburg-Wilmersdorf;7672;A25-A29;M;D
SK Berlin Charlottenburg-Wilmersdorf;8221;A30-A34;M;D
SK Berlin Charlottenburg-Wilmersdorf;7681;A35-A39;M;D
SK Berlin Charlottenburg-Wilmersdorf;7070;A40-A44;M;D
SK Berlin Charlottenburg-Wilmersdorf;24274;A45-A59;M;D
SK Berlin Charlottenburg-Wilmersdorf;8771;A60-A64;M;D
SK Berlin Charlottenburg-Wilmersdorf;29170;A65+;M;D
SK Berlin Spandau;5898;A00-A05;M;D
SK Berlin Spandau;8709;A06-A14;M;D
SK Berlin Spandau;2752;A15-A17;M;D
SK Berlin Spandau;1847;A18-A19;M;D
SK Berlin Spandau;5255;A20-A24;M;D
SK Berlin Spandau;5313;A25-A29;M;D
SK Berlin Spandau;5944;A30-A34;M;D
SK Berlin Spandau;5712;A35-A39;M;D
