Landkreis;Gesamt;Nationalität;Geschlecht
SK Berlin Mitte;128106;D;M
SK Berlin Friedrichshain-Kreuzberg;105014;D;M
SK Berlin Pankow;168877;D;M
SK Berlin Charlottenburg-Wilmersdorf;120091;D;M
SK Berlin Spandau;92957;D;M
SK Berlin Steglitz-Zehlendorf;121192;D;M
SK Berlin Tempelhof-Schöneberg;133252;D;M
SK Berlin Neukölln;117277;D;M
SK Berlin Treptow-Köpenick;119520;D;M
SK Berlin Marzahn-Hellersdorf;117419;D;M
SK Berlin Lichtenberg;117155;D;M
SK Berlin Reinickendorf;102439;D;M
Berlin;1443299;D;M
SK Berlin Mitte;123182;D;W
SK Berlin Friedrichshain-Kreuzberg;101122;D;W
SK Berlin Pankow;177886;D;W
SK Berlin Charlottenburg-Wilmersdorf;132326;D;W
SK Berlin Spandau;99324;D;W
SK Berlin Steglitz-Zehlendorf;137497;D;W
SK Berlin Tempelhof-Schöneberg;142649;D;W
SK Berlin Neukölln;122315;D;W
SK Berlin Treptow-Köpenick;126585;D;W
SK Berlin Marzahn-Hellersdorf;121275;D;W
SK Berlin Lichtenberg;122273;D;W
SK Berlin Reinickendorf;109053;D;W
Berlin;1515487;D;W
SK Berlin Mitte;73691;A;M
SK Berlin Friedrichshain-Kreuzberg;44312;A;M
SK Berlin Pankow;35640;A;M
SK Berlin Charlottenburg-Wilmersdorf;42972;A;M
SK Berlin Spandau;30171;A;M
SK Berlin Steglitz-Zehlendorf;25169;A;M
SK Berlin Tempelhof-Schöneberg;38639;A;M
SK Berlin Neukölln;46615;A;M
SK Berlin Treptow-Köpenick;19923;A;M
SK Berlin Marzahn-Hellersdorf;22162;A;M
SK Berlin Lichtenberg;34065;A;M
SK Berlin Reinickendorf;28976;A;M
Berlin;442335;A;M
SK Berlin Mitte;66852;A;W
SK Berlin Friedrichshain-Kreuzberg;41403;A;W
SK Berlin Pankow;35846;A;W
SK Berlin Charlottenburg-Wilmersdorf;44016;A;W
SK Berlin Spandau;29136;A;W
SK Berlin Steglitz-Zehlendorf;26596;A;W
SK Berlin Tempelhof-Schöneberg;37027;A;W
SK Berlin Neukölln;42830;A;W
SK Berlin Treptow-Köpenick;18422;A;W
SK Berlin Marzahn-Hellersdorf;20710;A;W
SK Berlin Lichtenberg;30992;A;W
SK Berlin Reinickendorf;26930;A;W
Berlin;420760;A;W
